과목,공부 내용,상태,공부 날짜,공부 유형
ADsP,1-1 데이터의 이해,완료,2025년 1월 3일,"강의, 필기"
토익,토익 단어 20개,완료,2025년 1월 3일,단어
ADsP,1-2 데이터의 가치와 미래,완료,2025년 1월 4일,"강의, 필기"
ADsP,1-3 가치 창조를 위한 데이터 사이언스와 전략 인사이트,완료,2025년 1월 5일,"강의, 필기"
토익,토익 단어 20개,완료,2025년 1월 5일,단어
ADsP,2-1 데이터 분석 기획의 이해,완료,2025년 1월 7일,"강의, 필기"
ADsP,2-2 분석 마스터 플랜,완료,2025년 1월 8일,"강의, 필기"
ADsP,3-1 R 기초와 데이터 마트,완료,2025년 1월 9일,"강의, 필기"
ADsP,3-2 통계분석,완료,2025년 1월 15일,"강의, 필기"
ADsP,3-3 정형 데이터 마이닝,완료,2025년 2월 1일,"강의, 필기"
토익,에듀윌 Day01,완료,2025년 1월 27일,단어
토익,에듀윌 Day02,완료,2025년 2월 1일,
ADsP,1-1 복습,완료,2025년 2월 4일,문제풀이
ADsP,1-2 복습,완료,2025년 2월 5일,문제풀이
ADsP,1-3 복습,완료,2025년 2월 6일,문제풀이
ADsP,2-1 복습,완료,2025년 2월 7일,문제풀이
ADsP,2-1 복습,완료,2025년 2월 7일,문제풀이
ADsP,2-2 복습,완료,2025년 2월 8일,문제풀이
ADsP,3-1 복습,완료,2025년 2월 9일,문제풀이
ADsP,3-2 복습,완료,2025년 2월 13일,문제풀이
ADsP,기출1,완료,2025년 2월 14일,문제풀이
ADsP,기출2,완료,2025년 2월 15일,문제풀이
ADsP,기출3,완료,2025년 2월 16일,문제풀이
토익,노랭이 5일차,완료,2025년 4월 4일,"강의, 단어"
토익,노랭이 6일차,진행 중,2025년 4월 5일,"강의, 단어"
토익,노랭이 7일차,시작 전,2025년 4월 6일,"강의, 단어"
토익,노랭이 8일차,시작 전,2025년 4월 7일,"강의, 단어"
토익,노랭이 9일차,시작 전,2025년 4월 8일,"강의, 단어"